student_id,student_name,school_id,gender,class,attendance,math_score,science_score,english_score,income_level,travel_distance,internet_access,parent_education,previous_absences,dropout_label
ST00001,Reyansh Jayaraman,TS459,Male,10,79.6,76,76,76,Medium,0.9,No,Primary,3,0
ST00002,Ethan Kale,TS476,Female,9,73.6,77,73,73,Low,9.6,Yes,Primary,10,0
ST00003,Vanya Sampath,TS294,Male,10,55.9,45,55,42,Medium,9.1,No,None,13,1
ST00004,Jai Kunda,TS473,Male,7,62.5,62,57,56,Medium,0.5,No,Graduate,17,1
ST00005,Hiral Lala,TS045,Male,7,55.3,51,59,50,Medium,9.0,Yes,Primary,25,1
ST00006,Gabriel Sama,TS460,Male,6,60.0,62,68,62,Low,6.0,Yes,Secondary,13,1
ST00007,Isha Kunda,TS033,Male,8,47.7,52,54,53,High,9.8,Yes,Primary,2,0
ST00008,Urishilla Basak,TS220,Female,9,58.5,58,52,53,Low,1.2,No,Secondary,22,1
ST00009,Yutika Sem,TS059,Female,6,77.0,83,83,84,Low,6.2,Yes,None,1,0
ST00010,Rushil Bajwa,TS066,Male,6,97.4,96,99,87,Medium,1.3,Yes,None,5,0
ST00011,Sanya Gala,TS343,Male,8,59.0,58,50,53,Low,8.3,Yes,Secondary,7,1
ST00012,Christopher Maharaj,TS473,Male,8,51.4,48,41,42,Low,5.6,Yes,Secondary,27,1
ST00013,Samar Sangha,TS477,Male,9,80.8,83,75,69,Low,7.7,Yes,Secondary,0,0
ST00014,Ekapad Chakrabarti,TS457,Male,10,72.1,76,59,60,Low,0.9,Yes,Secondary,21,0
ST00015,Vanya Boase,TS138,Female,9,48.1,41,52,42,Low,3.9,Yes,Secondary,27,1
ST00016,Raksha Gokhale,TS071,Female,9,85.2,79,81,80,Low,11.8,Yes,Secondary,16,1
ST00017,Jack Vora,TS103,Female,8,52.3,48,50,58,Low,6.5,Yes,Secondary,11,1
ST00018,Balveer Kunda,TS166,Female,8,65.2,64,54,65,Medium,11.5,Yes,None,5,0
ST00019,Kamala Sura,TS406,Female,8,53.8,54,56,57,High,2.6,Yes,Secondary,30,1
ST00020,Fiyaz Deep,TS166,Female,10,64.5,58,68,65,Low,6.6,Yes,Graduate,16,1
ST00021,Arjun Garde,TS395,Male,8,87.3,77,73,73,Low,7.9,Yes,Graduate,11,0
ST00022,Vritti Singh,TS144,Male,10,76.1,65,70,81,Medium,2.6,Yes,Primary,22,0
ST00023,Bhavini Bhatt,TS071,Female,9,59.7,68,58,49,Low,5.5,Yes,None,10,1
ST00024,Chandani Palan,TS139,Male,8,75.4,78,65,77,High,1.4,No,Secondary,16,0
